	momentum	tree	fdm_pt	cdm_pt	absdiff	reldiff
90	28.48035868435805		8.575035630617313e-23	(2.0+/-0.9)e-17	(-2.650+/-0.020)e-16	(2.85+/-0.09)e-16	14+/-6
91	32.745491628777316		2.1775722014084089e-26	(1.744+/-0.015)e-20	(2.865+/-0.024)e-17	(2.863+/-0.024)e-17	1642+/-20
92	37.649358067924716		3.626519813104234e-27	(7.6+/-2.6)e-22	(-2.385+/-0.016)e-18	(2.385+/-0.016)e-18	(3.1+/-1.1)e+03
93	43.287612810830616		3.613636887302554e-30	(9.18+/-0.12)e-25	(2.211+/-0.018)e-19	(2.211+/-0.018)e-19	(2.41+/-0.04)e+05
94	49.770235643321136		1.5602070494187953e-31	(-1.036+/-0.015)e-26	(-3.017+/-0.022)e-20	(3.017+/-0.022)e-20	(-2.91+/-0.05)e+06
95	57.223676593502205		2.691081377737402e-34	(2.2+/-0.7)e-27	(1.403+/-0.015)e-21	(1.403+/-0.015)e-21	(6.5+/-2.0)e+05
96	65.79332246575683		5.906171137360703e-36	(-6.27+/-0.26)e-31	(-3.004+/-0.022)e-22	(3.004+/-0.022)e-22	(-4.79+/-0.20)e+08
97	75.64633275546291		3.5729576347436395e-38	(4.8+/-2.1)e-32	(-2.918+/-0.019)e-23	(2.918+/-0.019)e-23	(6.1+/-2.7)e+08
98	86.97490026177834		3.069112449161028e-42	(3.4+/-1.0)e-34	(3.024+/-0.026)e-24	(3.024+/-0.026)e-24	(9.0+/-2.6)e+09
99	100.0	2.284718375006997e-45	(3.8+/-0.8)e-35	(3.192+/-0.022)e-25	(3.192+/-0.022)e-25	(8.5+/-1.8)e+09
